Sample,TimePoint,n,avPeakSt2,SEPeakSt2,avPeakSpotsSt2,SEPeakSpotsSt2,avSpotsSt23,SESpotsSt23,avWidthSt2,SEWidthSt2,avFractionSpots23,SEFractionSpots23
BACctr/,20,4.0,1.09394472770717,0.08531559317065562,1.2065718743520493,0.03150971601246196,0.9637707575089444,0.029558587786075285,165.742158497285,10.808274476653619,1.1826692215347676,0.024385159613498495
BAC_5-3/,20,1.0,0.7959061772064224,0.0,0.8773255952509695,0.0,1.0054354774243994,0.0,158.99760990645865,0.0,0.5607142857142857,0.0
BAC_5-4/,20,5.0,0.6574655735375692,0.049340238234067295,0.5323745925217469,0.10484080660626126,0.8531723585989051,0.017836837810420073,126.89765234861014,12.615529206627537,0.4384578974438017,0.08870762347915212
BAC_5-5/,20,5.0,1.1343945656270584,0.38067354463635866,0.3610564029807687,0.029673890573368448,0.8424516714244857,0.032855308993905326,133.73359479884846,9.52428180724494,0.2553838146731194,0.016572254792960147
BAC_6-2/,20,3.0,1.1401260609306487,0.17814876053677722,0.8952810786548747,0.18914728120972393,0.9409042009335322,0.03802002154840009,146.9035612583004,16.415045491417246,0.9078575155435953,0.21259597926101323
BAC_7-0/,20,4.0,0.48040691254086043,0.037622408877520996,0.389918738952085,0.029050728907774263,0.8322119419007737,0.027004724627068294,169.6885422956179,7.646100667350175,0.3673323501700053,0.01840392339378582
BAC_7-3/,20,6.0,0.8633486698276377,0.04335295929833172,0.8428820095851849,0.03898913062776879,0.888288817379823,0.010393780888263907,173.47610529297853,9.017186399486272,0.833263563218745,0.013840807473857597
BAC_7-4/,20,6.0,0.9099114775004037,0.2852705924657168,0.4511563767094589,0.04115784671179637,0.8380780803667712,0.016443835102530592,112.40876850771319,3.0187826709009293,0.4560185828078392,0.08321261112151176
BAC_7-5/,20,0.0,,,,,,,,,,
BAC_8-0/,20,1.0,1.5167185466405333,0.0,0.7663080680037281,0.0,0.9628267680600563,0.0,147.8797343926623,0.0,0.9047619047619048,0.0
BAC_8-2/,20,3.0,1.125458535770952,0.08158677116999635,1.2125001111092504,0.06183956044356245,0.8922096423952498,0.008202991474860852,172.76005271991335,13.813687847496313,1.1017661016922669,0.04788472515428149
BAC_8-3/,20,4.0,0.973665345634817,0.039881309155338905,0.9637750671241929,0.06923412681098519,0.9004214254289953,0.03896831921590558,150.19594301023068,3.2590335538460784,1.0451886862274267,0.06645018706911941
BAC_8-4/,20,0.0,,,,,,,,,,
BACctr/,30,4.0,1.0490687589950736,0.04220403136728683,0.98339312043996,0.07774516823339739,0.8979574427705788,0.030783859758515292,143.82097744656858,5.710862211378181,1.1675735070230482,0.06930132349218945
BAC_5-3/,30,11.0,0.8163688006737214,0.0422171118567716,0.8155820224836983,0.060229044440680314,0.9037031922588316,0.012075443551585826,110.02255720648905,5.082018771796499,0.8606648143998423,0.05395040528966464
BAC_5-4/,30,5.0,0.39254594735602377,0.04760051590119588,0.37029508941337747,0.07711961747764746,0.8652270714624208,0.06079796990090552,102.10033518094795,16.529602041769405,0.3333014680517425,0.062163212368863484
BAC_5-5/,30,12.0,0.7424741480466531,0.13495948220155912,0.382943761056231,0.055804991800488334,0.7999413643745864,0.015937783545516285,98.96464219366244,5.850945913209539,0.3304582519203826,0.031813361492377464
BAC_6-2/,30,3.0,0.7312935604674419,0.011345404722532502,0.6130649596689355,0.016499565365981964,0.8466695028689539,0.01489778909304128,104.73189486849502,9.447818061553445,0.5300609253199244,0.01567094496060219
BAC_7-0/,30,5.0,0.6783208383988897,0.17088868017923617,0.5370047599578263,0.061307900405561895,0.9055607255164638,0.04542423755190057,109.59453165887535,11.715953635096106,0.5144338516164354,0.058744163064246756
BAC_7-3/,30,5.0,0.8862088893486975,0.033847398871842134,0.9286192503231435,0.052831438257263164,0.9167529898925079,0.012777170479209666,128.51441618195287,11.681074722757751,0.8541847733650092,0.06030287202284838
BAC_7-4/,30,12.0,0.7717879319973111,0.11967294567351858,0.459680106573468,0.05814757507084999,0.8460076244889562,0.023698590444325183,90.00519251153905,8.082259316203633,0.37641834132217894,0.03969831291869611
BAC_7-5/,30,5.0,0.9391965263846703,0.026668725404345568,0.9136192868677524,0.04202158885074355,0.8977003595063364,0.02935316032678708,133.41651845086145,4.952426388833834,0.9085739724267068,0.07158798529357367
BAC_8-0/,30,3.0,1.0499818573355046,0.04626383776323833,1.1895536053290519,0.0983405455670672,0.9875181495338872,0.03705520876086393,147.36323252976337,7.3457031576832215,1.1467401532260022,0.16435910692788855
BAC_8-2/,30,8.0,1.096346673539235,0.05180366442185363,0.9466833774755978,0.051615763503139574,0.9077495948436649,0.029623994270238724,143.29946344857493,4.342713857837121,1.0698823003218796,0.050760054459086025
BAC_8-3/,30,3.0,0.8329985538732659,0.08358293352734474,0.8446286741189523,0.04615454236472718,0.829626432094372,0.01418329466393419,129.2583590542367,7.971869322810628,0.7659842407807963,0.04022426652356312
BAC_8-4/,30,9.0,0.6949290321453137,0.089257452007715,0.7206071630591269,0.06437275038535258,0.9066986416735414,0.027549136384846004,89.2584618170887,5.591710541916796,0.5500788720812051,0.019093858440563036
BACctr/,40,4.0,0.8967876414259894,0.008634251212958573,0.8209400073593311,0.08381975825347143,0.8949741163777433,0.044489481063230724,98.35137056616378,7.34292105213778,0.8342019779420886,0.1337299003798544
BAC_5-3/,40,8.0,1.0555335549036102,0.19567217910261755,0.874481416526719,0.04427599746598559,0.9518881461327251,0.014389539425916283,86.43544434586865,3.9922595759082444,0.9924368680407685,0.1727838443476042
BAC_5-4/,40,6.0,0.7335204621636019,0.04746533202316864,0.920904155248751,0.06022150543887814,0.9955829435308686,0.025980107636638407,94.4541100615637,4.152447809650458,0.9569322850415287,0.031539130990768376
BAC_5-5/,40,6.0,0.9989008689814463,0.26010086084085154,0.47266480137561784,0.09257804421617385,0.8534933966576178,0.03943890632545162,84.21119116864303,5.6091192436047175,0.37611558140412865,0.039050822485583184
BAC_6-2/,40,1.0,0.8064601036866375,0.0,1.0784682140426562,0.0,1.063848278339892,0.0,67.38090985897102,0.0,1.309278350515464,0.0
BAC_7-0/,40,6.0,0.5105163642741206,0.06742992339659012,0.5637845733752729,0.13815288172637877,0.8930014860729919,0.03690900017287165,91.38492400826505,10.268826267276545,0.563813494221496,0.10103728560950555
BAC_7-3/,40,4.0,0.8181668418594077,0.035175787578188726,0.929201956438139,0.02396434369348619,0.9382748105742655,0.021262371226443956,79.78870646449656,3.457042487657681,0.809203698730833,0.05768281795252789
BAC_7-4/,40,11.0,0.9034263434360535,0.0882437745551273,0.74564751171357,0.06604604381003577,0.9616389933176065,0.01818519585876487,73.7044084586484,2.7506853480128886,0.6065727019993256,0.05992835296444798
BAC_7-5/,40,17.0,1.1063268617491995,0.07482131987537877,0.9426574811542646,0.05253196560881017,0.9409748703327192,0.019660353169220827,88.65016586296336,4.029737733357913,0.8557580040582239,0.04904654317060138
BAC_8-0/,40,2.0,0.8768540747610774,0.025859399128364942,0.9232731029649479,0.11265472929932456,1.024100181886558,0.001230912608899355,76.88800382757529,5.9334970112458585,0.6714285714285715,0.07912861598992316
BAC_8-2/,40,7.0,1.0366716812835883,0.05392432645181989,0.8794631723681207,0.05110455086950823,0.9257053005901849,0.025941967904041817,112.97930308850066,6.891545296571253,0.9432720337537525,0.054611019527041144
BAC_8-3/,40,5.0,0.9935134411750675,0.07107018170051423,0.9086159393168816,0.07302994436827347,0.9405705824008506,0.02430965751555939,99.29261388697265,7.7186289743891185,0.9044820877429572,0.05349270585980446
BAC_8-4/,40,6.0,0.88184246398369,0.06354973875735206,0.9745181638404521,0.07634015124680588,1.0159871682368002,0.019820861432393158,75.29624796048738,4.108287436717452,0.8517154085750058,0.07004122440795338
BACctr/,50,4.0,1.0676500391384376,0.03309628283046602,0.9827463566868176,0.05973739496164929,0.9408982128482465,0.04899826550888867,68.07563469298735,3.1976224369300996,0.9307109198874153,0.034918274251087886
BAC_5-3/,50,17.0,0.8780877085635639,0.025179780324041688,0.9987753562737768,0.04262283150591109,0.9656894858396056,0.013984970733536802,73.29818903936625,2.5383654950466354,1.0412811251880771,0.04674891419535303
BAC_5-4/,50,3.0,0.8160497133236836,0.022096069232564963,0.9915014074030634,0.05417660359550597,0.9712401708983073,0.008902752238544807,78.30092030014923,11.155076498895955,1.212369649962284,0.07659574437282196
BAC_5-5/,50,14.0,0.7811013705490923,0.05450239142036843,1.027124079438765,0.04244645101691114,1.062682735801963,0.014849553270287502,67.30968438484736,2.528188907585303,0.9095506682426163,0.03185610082016107
BAC_6-2/,50,5.0,0.9350510468632635,0.033352342614754345,0.9263426062538084,0.06345210320757806,0.9536512463104625,0.01491227649018936,78.81002699817084,6.810053850789751,1.0451231091718898,0.06468170928112449
BAC_7-0/,50,7.0,0.9356798995767008,0.0868361851597479,1.1775126137498606,0.08019182378102292,1.0165990061863661,0.03434761702241518,72.54170337589359,3.7778320621150967,1.0477163179426263,0.04205828089343339
BAC_7-3/,50,3.0,0.957210018169777,0.074678672398096,0.8554100847900136,0.027592517498651263,0.9424985420387385,0.031348131817617725,76.33411540008815,9.389978962204824,0.8988441353552915,0.09782742456906388
BAC_7-4/,50,17.0,0.8236725589389305,0.04060532603174837,1.0565696059734677,0.049053986084986165,0.9949104727735196,0.01232871283383153,72.82951606794026,3.759373877456777,1.0283117297983593,0.05194410319767877
BAC_7-5/,50,8.0,0.9608574374672193,0.05575424430639082,0.906863425356608,0.04596750956236061,0.9143089687292328,0.0230869285411002,67.49577338023897,3.767508593909917,0.972910707382245,0.05286626488941031
BAC_8-0/,50,1.0,1.4429597985055007,0.0,1.757416427936499,0.0,1.1871231829615698,0.0,67.21105040587061,0.0,0.9508196721311475,0.0
BAC_8-2/,50,8.0,0.9855851268796277,0.031685252502606495,0.9834366845238205,0.07273193932521445,0.9303313387911384,0.015084145590615074,75.04665590354149,5.776042180185905,0.9822486029432465,0.09704332010208985
BAC_8-3/,50,5.0,0.9526353486554419,0.042839124403529036,0.9017953635148037,0.05569256828816977,0.9521248293080014,0.03265214885370334,61.86583919867594,4.858658870736869,0.8181268429107463,0.04061940017390905
BAC_8-4/,50,7.0,0.8479599671629405,0.020143043370794082,0.9818244800586952,0.05061135854633309,1.010264279847956,0.015542854143152107,76.83472406482421,4.5237427308442335,0.9622297028055654,0.026974567998510057
